REEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,1,2020-05-29 10:03:11
:D,5,2020-05-29 10:02:11
Love it so much! So cute,5,2020-05-29 08:14:25
"The ads couldn't run, can't get the coins.",3,2020-05-29 06:17:16
"Бывают лаги, тормозит кое-где, а так играю полгода уже",5,2020-05-29 02:41:24
Worst game in the land,1,2020-05-29 01:34:40
Vib,5,2020-05-28 23:33:48
"So far its the best idle game I've played. Its a really calming game, with ambient music and a very peaceful atmosphere going on and cute penguins too! lol I like how by just playing this very simple, yet pleasing and therapeutic game, it relieves my stress a lot. :)",4,2020-05-28 23:23:09
"I do like the game, but this simulator of watching the advertisments (now is treasure ship) keeps stucking and i cannot speed up it anyhow. Will it be fixed one day?",4,2020-05-28 22:37:14
Boring,3,2020-05-28 22:10:15
A very fun and cute game. I love it especially because I am a penguin fan.,5,2020-05-28 21:31:31
So relaxing and adorable!!!,5,2020-05-28 21:28:51
"It would have been fun. When I saw the ridiculous prices, I had to say no. A monthly subscription to get rid of ads? Haha. It's just another idle game I don't need. Also k(kilo) is the standard abbreviation for 1000. But they use ""a"". ????",1,2020-05-28 20:34:45
Very well done game with nice visuals. However the game is not finished. I have ran out of Quests and Habitats. I guess that means there is no reason to continue playing.,2,2020-05-28 19:22:47
"I like it! It gets a little repetitive after a while, and it gets pretty difficult to but new habitats. But it is very relaxing",4,2020-05-28 19:22:15
Amazing and addictive,5,2020-05-28 19:04:00
"Beautiful and just downright soothing, but please add names for the penguins: quirks, personalities, relationships, and maybe conflicts within the pack. Sprinkle some individuality to each of them so they'll be fun to watch.",3,2020-05-28 15:01:24
"I love penguins, they are my favorite animal and the game is adorable. I love the little Sauna penguin. He works hard and is best penguin. Love the game great for passing time in a calm manner, super relaxing.",5,2020-05-28 12:37:50
"Great graphics, stunning visuals, good casual game.",5,2020-05-28 11:28:08
Fun,5,2020-05-28 10:16:52
This game is fun and relaxing,5,2020-05-28 06:13:59
Its very nice and has a warm feeling to it!,5,2020-05-28 05:15:46
"Very fun and relaxing, no time commitment, nice music",5,2020-05-28 05:13:39
This game is pure gold not only becauce its relaxing also becauce i love penguinnns!!,5,2020-05-28 04:23:18
"It is very fun and there are no adds that I can see of. It is very fun and calming. All in all, it is a really great game. It can be a bit glitchy though.",5,2020-05-28 01:21:44
Penguin Isle's got those calming aesthetics that leave you at peace after a certain amount of time spent in game. Just looking at those cute little penguins completes my day.,5,2020-05-28 00:11:37
very addictive,5,2020-05-27 22:08:01
"Super cute! It's kind of like abyssrium pole, but without all the stupid stuff (imo at least). I also love how it back up to play games 😃 overall, a very cute game that's deeply relaxing 😍 edit: thanks for the clarification, devs! I must've had my save file on my other gmail account =/",5,2020-05-27 21:04:45
Love the penguins.,5,2020-05-27 20:15:09
Its so cute Such an adorable and fun game,5,2020-05-27 20:08:04
